abbr_source_title	rank_occ	OCC
Renewable Sustainable Energy Rev	1	12
Energy	2	7
Energies	3	7
Energy Econ.	4	6
Appl. Energy	5	5
Energy Policy	6	5
Energy Procedia	7	5
Renew. Energy	8	4
J. Clean. Prod.	9	4
Sustainability	10	4
IOP Conf. Ser. Earth Environ. Sci.	11	3
Internat. J. Rene. Ener. Devel.	12	2
Sustainable Cities Soc.	13	2
Journal of Sustain.  Finance  Invest.	14	2
IEEE PES Trondheim PowerTech: Power Technol. Sustainable Soc., POWERTECH	15	2
Renew. Energy Focus	16	2
IEEE Power Energy Soc. Innov. Smart Grid Technol. Conf., ISGT	17	2
Gospodarka Surowcami Mineral. Mineral Res. Manage.	18	2
Int Sol Energ Conf	19	2
Int. J. Energy Econ. Policy	20	2
