authors	rank_occ	rank_gcs	rank_lcs	OCC	global_citations	local_citations	h_index	g_index	m_index
Zhang M.M.	1	1	1	7	481	94	7	5	0.7
Zhou D.Q.	2	2	2	7	481	94	7	5	0.7
Moretto M.	3	4	4	6	131	28	6	3	0.67
Madlener R.	4	39	35	5	45	9	4	2	0.4
Zhou P.	5	3	3	4	357	76	4	4	0.4
D’Alpaos C.	6	31	43	4	52	8	3	2	0.5
Tian L.	7	22	8	3	58	19	2	2	0.29
Kim B.	8	26	42	3	57	8	3	3	0.25
Agaton C.B.	9	32	62	3	49	6	3	2	0.5
Olsina F.	10	41	13	3	43	17	2	2	0.4
Pringles R.	11	42	14	3	43	17	2	2	0.4
Ashuri B.	12	44	7	3	39	21	3	2	0.23
Kim K.	13	70	55	3	25	7	2	2	0.25
Di Bari A.	14	72	44	3	24	8	3	2	0.75
Chapman A.C.	15	81	39	3	20	9	3	2	0.6
Ma Y.	16	82	40	3	20	9	3	2	0.6
Verbič G.	17	83	41	3	20	9	3	2	0.6
Chen W.	18	84	70	3	20	5	3	2	0.5
Wang Q.	19	5	22	2	96	14	2	2	0.4
Fan J.-L.	20	16	59	2	73	6	2	2	0.4
Yang L.	21	17	60	2	73	6	2	2	0.4
Zhang X./1	22	18	61	2	73	6	2	2	0.4
Liu G.Q.	84	6	9	1	85	18	1	1	0.12
Jeon C.	85	7	10	1	83	18	1	1	0.11
Lee J./1	86	8	11	1	83	18	1	1	0.11
Shin J.	87	9	12	1	83	18	1	1	0.11
Lin B.	88	10	5	1	80	24	1	1	0.09
Wesseh Jr. P.K.	89	11	6	1	80	24	1	1	0.09
Fuss S.	90	12	87	1	74	3	1	1	0.08
Obersteiner M.	91	13	88	1	74	3	1	1	0.08
Reuter W.H.	92	14	89	1	74	3	1	1	0.08
Szolgayová J.	93	15	90	1	74	3	1	1	0.08
Ding H.	94	19	30	1	71	9	1	1	0.2
Biondi T.	95	20	16	1	62	16	1	1	0.11
