organizations	rank_occ	rank_gcs	rank_lcs	OCC	global_citations	local_citations	h_index	g_index	m_index
Nanjing Univ. of Aeronaut. & Astronaut. (CHN)	1	1	1	7	481	94	7	5	0.7
China Univ. of Petroleum (CHN)	2	2	2	5	141	26	4	4	0.57
Univ. of Padova (ITA)	3	3	3	5	114	24	4	3	0.44
Massachusetts Inst. of Technol. (USA)	4	26	40	5	51	5	4	2	0.19
RWTH Aachen Univ. (DEU)	5	28	22	5	45	9	4	2	0.4
China Univ. of Geosciences (CHN)	6	5	20	4	86	9	3	3	0.6
Nac. Univ. of Singapore (SGP)	7	49	94	4	26	1	3	2	0.43
Tianjin Univ. (CHN)	8	59	44	4	21	5	3	2	0.23
China Univ. of Mining & Technol. (CHN)	9	4	26	3	91	8	3	3	0.6
Jiangsu Univ. (CHN)	10	20	8	3	58	19	2	2	0.29
Yonsei Univ. (KOR)	11	24	18	3	54	10	3	2	0.25
Georgia Inst. of Technol. (USA)	12	31	7	3	39	21	3	2	0.23
Fondazione Eni Enrico Mattei (ITA)	13	43	42	3	27	5	3	2	1.0
Univ. of Bari (ITA)	14	53	28	3	24	8	3	2	0.75
Univ. of Sydney (AUS)	15	60	25	3	20	9	3	2	0.6
City Univ. of Hong Kong (HKG)	16	66	97	3	19	1	2	2	0.33
Pontifícia Univ. Católica Do Rio de Janeiro (BRA)	17	169	169	3	1	0	1	1	0.14
China Univ. of Mining and Technol. (CHN)	18	15	33	2	73	6	2	2	0.4
Minist. of Sci. and Technol. (CHN)	19	16	34	2	73	6	2	2	0.4
VU Univ. Amsterdam (NLD)	20	19	27	2	61	8	2	2	0.33
Xi'an Jiaotong-Liverpool Univ. (CHN)	47	6	9	1	85	18	1	1	0.12
Soongsil Univ. (KOR)	48	7	10	1	83	18	1	1	0.11
Sungkyunkwan Univ. (KOR)	49	8	11	1	83	18	1	1	0.11
Minjiang Univ. (CHN)	50	9	4	1	80	24	1	1	0.09
Univ. of Liberia (LBR)	51	10	5	1	80	24	1	1	0.09
Xiamen Univ. (CHN)	52	11	6	1	80	24	1	1	0.09
Comenius Univ. (SVK)	53	12	57	1	74	3	1	1	0.08
Int. Inst. for Appl. Syst. Analysis (AUT)	54	13	58	1	74	3	1	1	0.08
Vienna Univ. of Econ. and Bus. (AUT)	55	14	59	1	74	3	1	1	0.08
Sistema Iniziative Locali S.P.A. (ITA)	56	17	13	1	62	16	1	1	0.11
Southeast Univ. (CHN)	57	18	39	1	62	5	1	1	0.14
