year	OCC	global_citations	mean_global_citations	mean_global_citations_per_year
2001	1	0	0.0	0.0
2003	1	7	7.0	0.33
2005	6	19	3.17	0.17
2006	1	9	9.0	0.5
2007	2	9	4.5	0.26
2008	3	27	9.0	0.56
2009	4	1	0.25	0.02
2010	3	15	5.0	0.36
2011	5	37	7.4	0.57
2012	8	119	14.88	1.24
2013	7	146	20.86	1.9
2014	5	90	18.0	1.8
2015	7	212	30.29	3.37
2016	13	368	28.31	3.54
2017	12	201	16.75	2.39
2018	11	193	17.55	2.92
2019	10	186	18.6	3.72
2020	12	113	9.42	2.35
2021	18	202	11.22	3.74
2022	20	111	5.55	2.78
2023	14	18	1.29	1.29
